id,state,state_abb,county,county_id,operator,name,sqft,lon,lat,type,bws_annual_mean_score,bws_annual_label,bws_state_score,bws_state_label,bws_state_category,merge_method
1425043214,Ohio,OH,Licking County,89,Quality Technology Services,QTS NAL1 DC2,226711.0,-82.75816917488658,40.06356213641001,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
300162675,Virginia,VA,Loudoun County,107,Digital Realty,Digital Realty ACC6,226152.0,-77.46358953091513,39.02106804323565,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
1280344149,Oregon,OR,Umatilla County,59,Amazon Web Services,Amazon Web Services,225421.0,-119.22880463589556,45.92059672458088,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
1425043215,Ohio,OH,Licking County,89,Quality Technology Services,QTS NAL1 DC1,225116.0,-82.75805608235054,40.06510848413083,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
938592711,Arizona,AZ,Maricopa County,13,,,224651.0,-112.3770584915453,33.43946838545604,building,4.5,Extremely High (>80%),4.5,Extremely High (>80%),Extremely High,state_level_fallback
701924664,Virginia,VA,Loudoun County,107,GI Partners,,224621.0,-77.43982021083254,39.00065496674865,building,1.0,Low-Medium (10-20%),1.0,Low-Medium (10-20%),Low-Medium,state_level_fallback
1421212901,Nevada,NV,Clark County,3,Switch,Switch Las Vegas 14,223997.0,-115.2220449875616,36.065207561022845,building,3.8,High (40-80%),3.8,High (40-80%),High,state_level_fallback
1427613546,Ohio,OH,Licking County,89,Vantage,Vantage Building 3,222450.0,-82.74724322674068,40.098765283375776,building,1.2,Low-Medium (10-20%),1.2,Low-Medium (10-20%),Low-Medium,state_level_fallback
597876730,Texas,TX,Dallas County,113,Digital Realty,Digital Realty Dallas DFW18,222335.0,-96.71260861653484,32.96520380450456,building,3.2,High (40-80%),3.2,High (40-80%),High,state_level_fallback
1027471510,Oregon,OR,Morrow County,49,Amazon Web Services,Amazon Web Services us-west-2,221562.0,-119.60906254768788,45.846753781437606,building,1.5,Low-Medium (10-20%),1.5,Low-Medium (10-20%),Low-Medium,state_level_fallback
