state,state_abb,county,county_id,dc_count,total_sqft,bws_score,bws_category,mean_lat,mean_lon,bws_label
Virginia,VA,Frederick County,69,1,273198.0,2.799173493814056,Medium-High,39.017644447296405,-78.29095951194115,Medium-High (20-40%)
Virginia,VA,Culpeper County,47,1,1299936.0,2.6795767146707408,Medium-High,38.454936889103365,-77.97818714607277,Medium-High (20-40%)
Utah,UT,Washington County,53,1,1833.0,4.392791443877503,Extremely High,37.062799199655686,-113.54474869182133,Extremely High (>80%)
Utah,UT,Uintah County,47,1,12971.0,0.14891943355124662,Low,40.456593451731784,-109.52899881097022,Low (<10%)
Texas,TX,Wichita County,485,1,39127.0,2.388533173037882,Medium-High,33.95337794611651,-98.5247312569212,Medium-High (20-40%)
Texas,TX,Ward County,475,1,2238928.0,5.0,Extremely High,31.513473610030378,-103.44862076924288,Extremely High (>80%)
Texas,TX,Milam County,331,1,4357993.0,0.01976820981689985,Low,30.57331452461579,-97.08018498547705,Low (<10%)
Texas,TX,Medina County,325,1,228897.0,3.9565802320152277,High,29.412976988788397,-98.806374449939,High (40-80%)
Texas,TX,Hood County,221,1,1768886.0,1.0125550380854043,Low-Medium,32.34174517429652,-97.7312280300424,Low-Medium (10-20%)
Texas,TX,Angelina County,5,1,12987.0,1.455772574999146,Low-Medium,31.194175662576733,-94.79677175730814,Low-Medium (10-20%)
Tennessee,TN,Roane County,145,1,0.0,1.8758104309269539,Low-Medium,35.92951329999998,-84.310567,Low-Medium (10-20%)
Tennessee,TN,Henry County,79,1,85491.0,0.0,Low,36.3270316008224,-88.32007315006497,Low (<10%)
Tennessee,TN,Grainger County,57,1,1232.0,1.145070581646145,Low-Medium,36.32807395055384,-83.37670351660657,Low-Medium (10-20%)
South Carolina,SC,Horry County,51,1,91946.0,0.0,Low,33.674583221801456,-78.94369603285817,Low (<10%)
Oregon,OR,Clackamas County,5,1,24854.0,0.0,Low,45.31873065187943,-122.76587362101382,Low (<10%)
Alabama,AL,Houston County,69,1,10736.0,1.6266624321818774,Low-Medium,31.231904196338384,-85.45584883805839,Low-Medium (10-20%)
Oklahoma,OK,Oklahoma County,109,1,0.0,1.3533870455997896,Low-Medium,35.46720489999999,-97.6497453,Low-Medium (10-20%)
