pfaf_id,bws_annual_mean_raw,bws_annual_mean_score,bws_annual_max_raw,bws_annual_max_score,bws_summer_mean_raw,bws_summer_mean_score,n_arid_months,n_raw_masked_months,bwd_annual_mean_raw,bwd_annual_mean_score,iav_annual_mean_raw,iav_annual_mean_score,is_arid,bws_category,bws_annual_label,pfaf_prefix
284303,0.023885752187712907,0.009056608399363708,0.0539120360517041,0.1086793007923645,0.026388466392766968,0.0,0,0,0.004897534904163441,0.09795069808326991,0.7222078430547016,2.8888313722188066,False,Low,Low (<10%),2
284304,0.11793112079146258,1.0317425977162784,0.2598563663655838,2.377714404826652,0.222738268780172,2.1220877556437787,0,0,0.048483304127183685,0.7312773565272773,0.5294901102234274,2.1179604408937096,False,Low-Medium,Low-Medium (10-20%),2
284305,0.002425652897313483,0.0,0.003435485967524,0.0,0.0020187250600689,0.0,0,0,0.00082921511863095,0.016584302372619614,0.4362095356992773,1.7448381427971096,False,Low,Low (<10%),2
284306,0.047919913660399,0.16768911090862562,0.0844289401473869,0.7558095089095273,0.04990095866159633,0.15482008418703772,0,0,0.029172711899274808,0.5806205568466843,0.7497936776696053,2.9991747106784215,False,Low,Low (<10%),2
284307,0.0002582823380811417,0.0,0.0003684844813175,0.0,0.00021162925112799998,0.0,0,0,0.00015752783297876143,0.0031505566595761082,0.437651394559833,1.750605578239332,False,Low,Low (<10%),2
284308,0.22207783088042451,1.9954587083768134,0.4420025893904918,3.144054821403764,0.3702864158976991,2.8358917504904464,0,0,0.08779765397143018,1.1231296165334725,0.38499598145434755,1.5399839258173902,False,Low-Medium,Low-Medium (10-20%),2
284309,0.015102950876891974,0.0,0.0490291309296546,0.0,0.04029265803246427,0.0,0,0,0.00841364159011229,0.16827283180224664,0.28908307694755614,1.156332307790225,False,Low,Low (<10%),2
284402,0.30344040282227547,2.3944734010887605,0.7014247442591629,3.8102883256439166,0.5672769254179225,3.4640735048274247,0,0,0.12336929455301025,1.306002084973673,0.46749040939430087,1.8699616375772035,False,Medium-High,Medium-High (20-40%),2
284403,0.008189582089833626,0.0,0.0184821889608315,0.0,0.015291612093549034,0.0,0,0,0.003581795196201958,0.07163590392404019,0.2853401336503694,1.141360534601478,False,Low,Low (<10%),2
284404,0.18894168054138735,1.8255894773230772,0.3107390661263233,2.635703628533273,0.17451122889651396,1.7502472903665216,0,0,0.05192219519401256,0.9033221850367398,0.31973188578928247,1.27892754315713,False,Low-Medium,Low-Medium (10-20%),2
284405,0.024020203459758593,0.0,0.0437040077364865,0.0,0.03401248843961453,0.0,0,0,0.009634124612274175,0.19268249224548453,0.26358356405278843,1.0543342562111537,False,Low,Low (<10%),2
284406,0.07707535778529066,0.5927799541789,0.1413675303952987,1.499450796831494,0.07726085728514641,0.596942533770751,0,0,0.025694205770571025,0.5126281697820444,0.23540538881183545,0.9416215552473419,False,Low,Low (<10%),2
284407,0.00821530896315494,0.0,0.0227905941908048,0.0,0.0165184430974246,0.0,0,0,0.004141931075733783,0.08283862151467675,0.24193423109803483,0.9677369243921395,False,Low,Low (<10%),2
284408,0.010230586639139169,0.0,0.0187567156290775,0.0,0.009287872618646833,0.0,0,0,0.004255203231935592,0.08510406463871283,0.2744914472644618,1.0979657890578471,False,Low,Low (<10%),2
284409,0.06148924548852263,0.3703177217914943,0.1155873285582837,1.2089832488063128,0.058183072569992667,0.28140129069290337,0,0,0.020585030572160764,0.41170061144321607,0.25625067416248243,1.0250026966499297,False,Low,Low (<10%),2
284500,4.4637313434620625,5.0,7.018620465154087,5.0,6.75423971697164,5.0,0,0,0.8887905627975119,4.33420825507322,0.33717434914156635,1.3486973965662654,False,Extremely High,Extremely High (>80%),2
284501,0.00012783884314275558,0.0,0.0003195570506812,0.0,6.275338606550076e-05,0.0,0,0,0.00010663064126332232,0.002132612825266725,0.32682790339638784,1.3073116135855514,False,Low,Low (<10%),2
284502,0.03630997261160735,0.06762291952120549,0.0744147892875077,0.5736612779431317,0.03407751786406493,0.0,0,0,0.016322771897644504,0.3264554379528907,0.3189303336084341,1.2757213344337364,False,Low,Low (<10%),2
284503,0.2969250818481876,2.4316984361944294,0.5843596438921066,3.546856548492056,0.5020144274996347,3.2935561434039933,0,0,0.11309723844977866,1.2860563489637062,0.38777665471528605,1.5511066188611442,False,Medium-High,Medium-High (20-40%),2
284504,0.025986047838830028,0.004896063893183317,0.0520782460859942,0.0587527667181998,0.020236340416487267,0.0,0,0,0.012958364559027505,0.2591672911805512,0.3322488541321302,1.3289954165285207,False,Low,Low (<10%),2
284505,0.2601080595031025,2.088077471267589,0.5553752326505245,3.473462840590332,0.47051040286788764,3.1921373948153278,0,0,0.10095900358286826,1.2154738862564594,0.3374370385322814,1.3497481541291256,False,Medium-High,Medium-High (20-40%),2
284506,0.4852149504423911,3.0730176714413946,1.4068003293421758,4.814345672708647,0.8986287612968686,4.040834243406075,0,0,0.1126781051699131,1.3078704894649265,0.5094919308547619,2.037967723419048,False,High,High (40-80%),2
284507,5.8036958424764,5.0,12.269725524689775,5.0,9.832435603360402,5.0,0,0,1.2375738530311917,4.816010129932575,0.5520605711770591,2.2082422847082364,False,Extremely High,Extremely High (>80%),2
284508,1.0688851967931197,3.8476070815606747,3.080381101408427,5.0,2.493988867455213,5.0,0,0,0.3119553778271497,2.185565163991203,0.45803516695169294,1.8321406678067718,False,High,High (40-80%),2
284509,0.08787491609546576,0.634193703672257,0.2444551950648842,2.289570065254848,0.21435200185615522,2.090075075955775,0,0,0.037815865721972396,0.5556218629753162,0.3099815710849508,1.2399262843398036,False,Low,Low (<10%),2
284610,0.08787491609546576,0.634193703672257,0.2444551950648842,2.289570065254848,0.21435200185615522,2.090075075955775,0,0,0.037815865721972396,0.5556218629753162,0.3099815710849508,1.2399262843398036,False,Low,Low (<10%),2
284620,1.180298789534677,3.672001174821465,3.400610507049057,5.0,2.97185246272428,5.0,0,0,0.4850927566999355,2.525767134191787,0.37048516492616734,1.48194065970467,False,High,High (40-80%),2
284630,0.009882282438272648,0.0,0.0184253466296172,0.0,0.016343923604405335,0.0,0,0,0.0033274102345614656,0.06654820469123028,0.28181247325864084,1.1272498930345634,False,Low,Low (<10%),2
284641,0.03900546494606124,0.15514721068366166,0.0856167015649251,0.7759641610213458,0.07710941661055389,0.61956614736149,0,0,0.014473564284296333,0.28947128568592767,0.27473839932776584,1.0989535973110636,False,Low,Low (<10%),2
